Engine Size(L),Cylinders,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Type,Transmission Type,Gear num
3.6,6,3,12.8,8.5,SMALL,1,6.0
2.0,4,1,11.8,8.1,SMALL,1,6.0
3.6,6,3,13.1,9.0,SMALL,1,6.0
3.6,6,3,13.2,8.7,MIDDLE,1,6.0
3.6,6,3,13.3,9.0,MIDDLE,1,6.0
2.0,4,1,11.9,7.9,MIDDLE,1,6.0
3.6,6,3,12.9,8.2,MIDDLE,1,8.0
2.0,4,1,12.6,8.5,MIDDLE,1,6.0
3.6,6,3,13.1,9.0,MIDDLE,1,6.0
3.6,6,1,15.1,9.9,MIDDLE,1,8.0
3.0,6,3,12.7,8.9,MIDDLE,1,6.0
3.6,6,3,13.3,8.9,MIDDLE,1,6.0
3.0,6,3,12.8,9.1,MIDDLE,1,6.0
3.6,6,3,13.3,9.0,MIDDLE,1,6.0
6.2,8,1,19.7,12.9,MIDDLE,1,6.0
6.2,8,1,16.7,12.5,MIDDLE,2,6.0
6.2,8,1,19.7,12.9,MIDDLE,1,6.0
6.2,8,1,16.7,12.5,MIDDLE,2,6.0
6.2,8,1,17.0,11.8,VAN,5,6.0
6.2,8,4,23.3,16.1,VAN,5,6.0
6.2,8,1,18.8,13.4,VAN,5,6.0
6.2,8,4,25.7,17.8,VAN,5,6.0
3.6,6,3,14.3,9.8,VAN,1,6.0
3.6,6,3,14.8,10.4,VAN,1,6.0
3.6,6,3,13.6,8.6,MIDDLE,1,6.0
3.6,6,3,14.0,9.1,MIDDLE,1,6.0
3.6,6,1,14.8,9.8,MIDDLE,1,6.0
3.6,6,3,13.2,8.7,SMALL,1,6.0
3.6,6,3,14.2,8.6,SMALL,2,6.0
3.6,6,3,12.7,7.9,SMALL,1,6.0
6.2,8,1,15.3,9.8,SMALL,1,6.0
6.2,8,1,15.0,9.9,SMALL,2,6.0
6.2,8,1,19.7,12.9,SMALL,1,6.0
6.2,8,1,16.7,12.5,SMALL,2,6.0
6.2,8,1,14.9,8.5,SMALL,1,6.0
6.2,8,1,13.7,8.2,SMALL,2,7.0
1.4,4,3,9.1,6.3,MIDDLE,1,6.0
1.4,4,3,9.1,6.3,MIDDLE,2,6.0
1.8,4,3,10.5,6.7,MIDDLE,1,6.0
1.8,4,3,9.5,6.5,MIDDLE,2,6.0
2.0,4,2,8.7,5.1,MIDDLE,1,6.0
1.4,4,3,9.1,6.0,MIDDLE,5,6.0
1.4,4,3,8.4,5.6,MIDDLE,2,6.0
2.4,4,3,10.5,7.3,VAN,5,6.0
3.6,6,3,13.9,9.6,VAN,5,6.0
3.6,6,4,18.8,13.1,VAN,5,6.0
2.4,4,3,11.5,8.2,VAN,5,6.0
3.6,6,3,14.8,9.9,VAN,5,6.0
3.6,6,4,19.8,13.6,VAN,5,6.0
4.3,6,3,17.1,12.7,LARGE,5,4.0
5.3,8,3,18.0,13.4,LARGE,5,4.0
5.3,8,4,23.5,17.7,LARGE,5,4.0
5.3,8,3,18.3,14.2,LARGE,5,4.0
5.3,8,4,23.7,18.8,LARGE,5,4.0
5.3,8,3,18.6,13.9,LARGE,5,4.0
5.3,8,4,23.9,18.5,LARGE,5,4.0
5.3,8,4,25.3,19.3,LARGE,5,4.0
5.3,8,3,18.6,13.9,LARGE,5,4.0
5.3,8,4,23.9,18.5,LARGE,5,4.0
5.3,8,3,18.3,14.2,LARGE,5,4.0
5.3,8,4,25.3,19.3,LARGE,5,4.0
4.8,8,3,21.1,14.2,LARGE,5,6.0
6.0,8,3,21.9,15.0,LARGE,5,6.0
6.0,8,4,30.0,20.4,LARGE,5,6.0
4.8,8,3,21.3,14.3,LARGE,5,6.0
6.0,8,3,22.1,15.0,LARGE,5,6.0
6.0,8,4,30.2,20.5,LARGE,5,6.0
2.5,4,3,11.3,7.5,MIDDLE,1,6.0
3.6,6,3,12.6,8.2,MIDDLE,1,6.0
3.6,6,4,16.7,11.3,MIDDLE,1,6.0
2.4,4,3,10.0,7.0,MIDDLE,1,6.0
2.5,4,3,9.3,6.4,MIDDLE,1,6.0
2.4,4,3,12.2,8.6,VAN,1,6.0
2.4,4,3,11.8,8.3,VAN,2,6.0
4.3,6,3,13.4,9.9,LARGE,5,6.0
4.3,6,4,18.9,14.2,LARGE,5,6.0
5.3,8,3,14.6,10.3,LARGE,5,6.0
5.3,8,4,19.5,13.7,LARGE,5,6.0
6.2,8,1,16.3,11.4,LARGE,5,6.0
4.3,6,3,14.2,10.6,LARGE,5,6.0
4.3,6,4,20.0,15.1,LARGE,5,6.0
5.3,8,3,14.9,10.6,LARGE,5,6.0
5.3,8,4,19.9,14.2,LARGE,5,6.0
6.2,8,1,16.4,11.7,LARGE,5,6.0
1.4,4,3,9.1,6.7,SMALL,1,6.0
1.4,4,3,8.5,6.2,SMALL,2,6.0
1.8,4,3,9.6,6.6,SMALL,1,6.0
1.8,4,3,8.9,6.7,SMALL,2,5.0
1.4,4,3,9.4,7.0,SMALL,1,6.0
1.4,4,3,8.8,7.0,SMALL,2,6.0
1.4,4,3,9.1,6.7,MIDDLE,1,6.0
1.4,4,3,8.5,6.2,MIDDLE,2,6.0
1.8,4,3,9.6,6.6,MIDDLE,1,6.0
1.8,4,3,8.9,6.7,MIDDLE,2,5.0
1.4,4,3,9.4,7.0,MIDDLE,1,6.0
1.4,4,3,8.8,7.0,MIDDLE,2,6.0
1.2,4,3,7.7,6.0,SMALL,3,0.0
1.2,4,3,7.6,6.0,SMALL,2,5.0
5.3,8,3,16.0,11.1,VAN,5,6.0
5.3,8,4,21.5,14.6,VAN,5,6.0
1.4,4,3,9.4,7.1,VAN,1,6.0
1.4,4,3,9.1,6.8,VAN,2,6.0
1.4,4,3,10.0,7.8,VAN,1,6.0
3.6,6,3,12.4,7.7,MIDDLE,5,8.0
2.4,4,3,11.7,8.2,SMALL,5,4.0
2.4,4,3,12.9,8.1,SMALL,5,6.0
3.6,6,3,12.5,8.1,SMALL,5,6.0
3.6,6,4,17.0,11.2,SMALL,5,6.0
2.4,4,3,11.2,8.0,MIDDLE,5,4.0
2.4,4,3,12.0,7.6,MIDDLE,5,6.0
3.6,6,3,12.5,8.1,MIDDLE,5,6.0
3.6,6,4,17.0,11.2,MIDDLE,5,6.0
5.7,8,3,15.8,9.2,MIDDLE,5,5.0
3.6,6,3,12.8,8.6,MIDDLE,5,8.0
5.7,8,3,16.1,10.0,MIDDLE,5,5.0
3.6,6,4,17.3,11.7,MIDDLE,5,8.0
3.6,6,4,16.8,10.3,MIDDLE,5,8.0
6.4,8,1,16.7,10.3,MIDDLE,5,5.0
3.6,6,3,14.1,9.5,LARGE,5,6.0
3.6,6,4,19.7,13.3,LARGE,5,6.0
3.6,6,3,13.2,8.7,MIDDLE,5,5.0
5.7,8,3,15.6,10.0,MIDDLE,2,6.0
5.7,8,3,15.8,9.2,MIDDLE,5,5.0
6.4,8,1,16.8,10.4,MIDDLE,2,6.0
6.4,8,1,16.7,10.3,MIDDLE,5,5.0
3.6,6,3,13.2,8.7,MIDDLE,5,5.0
3.6,6,4,18.3,12.6,MIDDLE,5,5.0
3.6,6,3,12.3,7.6,MIDDLE,5,8.0
2.0,4,3,9.4,6.5,MIDDLE,2,6.0
2.4,4,3,10.1,6.8,MIDDLE,5,6.0
2.4,4,3,10.5,6.7,MIDDLE,2,6.0
2.0,4,3,9.9,7.0,MIDDLE,5,6.0
2.0,4,4,14.2,9.8,MIDDLE,5,6.0
2.4,4,3,10.6,7.5,MIDDLE,5,6.0
2.4,4,3,10.2,7.0,MIDDLE,2,6.0
1.4,4,3,8.4,5.9,MIDDLE,4,6.0
1.4,4,3,8.5,5.8,MIDDLE,2,6.0
5.7,8,3,17.3,10.8,VAN,5,8.0
3.6,6,3,13.9,9.8,VAN,5,8.0
3.6,6,4,17.7,13.0,VAN,5,8.0
3.6,6,3,13.7,9.4,LARGE,5,6.0
3.6,6,4,19.2,13.1,LARGE,5,6.0
2.4,4,3,12.7,9.1,VAN,5,4.0
3.6,6,3,14.5,9.9,VAN,5,6.0
3.6,6,3,14.2,9.4,VAN,5,6.0
3.6,6,4,18.9,12.9,VAN,5,6.0
1.4,4,3,8.5,6.9,SMALL,2,5.0
1.4,4,3,8.7,6.9,SMALL,5,6.0
1.4,4,3,7.9,6.3,SMALL,2,5.0
1.4,4,3,7.6,5.9,SMALL,2,5.0
1.4,4,3,10.0,7.2,MIDDLE,4,6.0
1.4,4,3,9.3,7.2,MIDDLE,2,6.0
2.0,4,3,5.6,6.4,MIDDLE,3,0.0
4.6,8,3,17.7,14.4,LARGE,5,4.0
4.6,8,4,24.1,19.2,LARGE,5,4.0
5.4,8,3,19.3,14.7,LARGE,5,4.0
5.4,8,4,24.9,19.6,LARGE,5,4.0
4.6,8,3,18.6,14.6,LARGE,5,4.0
4.6,8,4,25.5,20.0,LARGE,5,4.0
6.8,10,3,23.9,17.8,LARGE,5,5.0
5.4,8,3,20.6,15.5,LARGE,5,4.0
5.4,8,4,26.7,20.5,LARGE,5,4.0
2.0,4,3,11.3,7.9,VAN,5,6.0
3.5,6,3,12.6,8.7,VAN,1,6.0
3.5,6,3,13.3,9.3,VAN,1,6.0
3.7,6,3,13.7,10.4,VAN,1,6.0
1.6,4,3,10.4,7.4,VAN,1,6.0
2.0,4,3,10.9,8.0,VAN,1,6.0
2.5,4,3,10.9,7.5,VAN,1,6.0
1.6,4,3,10.5,7.9,VAN,1,6.0
2.0,4,3,11.2,8.5,VAN,1,6.0
5.4,8,3,18.2,13.3,VAN,5,6.0
5.4,8,4,24.5,18.0,VAN,5,6.0
2.0,4,3,11.8,8.3,VAN,5,6.0
3.5,6,3,14.8,10.7,VAN,1,6.0
3.5,6,3,13.7,9.7,VAN,1,6.0
3.5,6,4,18.3,12.9,VAN,1,6.0
3.5,6,3,14.3,10.3,VAN,1,6.0
3.5,6,4,18.9,13.9,VAN,1,6.0
3.5,6,3,14.5,10.6,LARGE,5,6.0
3.5,6,3,14.6,10.6,LARGE,1,6.0
6.2,8,3,18.3,12.9,LARGE,1,6.0
3.5,6,3,15.9,11.3,LARGE,5,6.0
3.5,6,3,15.4,11.0,LARGE,1,6.0
6.2,8,3,20.1,14.4,LARGE,1,6.0
3.7,6,3,14.0,10.3,LARGE,5,6.0
3.7,6,4,18.8,13.7,LARGE,5,6.0
3.7,6,3,14.0,10.3,LARGE,1,6.0
3.7,6,4,18.8,13.7,LARGE,1,6.0
5.0,8,3,16.4,12.3,LARGE,5,6.0
5.0,8,4,22.1,16.7,LARGE,5,6.0
5.0,8,3,16.4,12.3,LARGE,1,6.0
5.0,8,4,22.1,16.7,LARGE,1,6.0
3.7,6,3,15.0,11.4,LARGE,5,6.0
3.7,6,4,20.2,15.3,LARGE,5,6.0
3.7,6,3,15.0,11.4,LARGE,1,6.0
3.7,6,4,20.2,15.3,LARGE,1,6.0
5.0,8,3,16.8,12.6,LARGE,5,6.0
5.0,8,4,22.4,17.0,LARGE,5,6.0
5.0,8,3,16.7,12.5,LARGE,1,6.0
5.0,8,4,22.4,16.9,LARGE,1,6.0
6.2,8,3,20.4,15.0,LARGE,1,6.0
1.6,4,3,8.5,6.5,SMALL,1,6.0
1.6,4,3,8.6,6.4,SMALL,2,5.0
1.0,4,3,7.5,5.5,SMALL,2,5.0
1.6,4,3,8.0,5.8,SMALL,1,6.0
1.6,4,3,8.9,6.8,SMALL,2,6.0
3.5,6,3,13.2,9.4,VAN,1,6.0
3.5,6,3,13.7,10.2,VAN,1,6.0
3.5,6,3,14.8,10.4,VAN,1,6.0
2.0,4,3,10.2,7.4,SMALL,2,6.0
2.0,4,3,8.8,6.4,SMALL,5,6.0
2.0,4,4,11.7,8.5,SMALL,5,6.0
2.0,4,3,8.9,6.4,SMALL,1,6.0
2.0,4,4,11.7,8.5,SMALL,1,6.0
2.0,4,3,9.1,6.6,SMALL,2,5.0
2.0,4,4,11.9,8.9,SMALL,2,5.0
2.0,4,3,8.4,5.8,SMALL,5,6.0
2.0,4,4,11.6,8.3,SMALL,5,6.0
1.5,4,3,10.1,6.6,MIDDLE,1,6.0
1.6,4,3,9.4,6.4,MIDDLE,2,6.0
2.0,4,3,10.5,7.1,MIDDLE,1,6.0
2.5,4,3,10.5,7.0,MIDDLE,1,6.0
1.5,4,3,9.5,6.3,MIDDLE,1,6.0
2.0,4,3,10.9,7.5,MIDDLE,1,6.0
2.0,4,3,5.3,5.7,MIDDLE,3,0.0
3.7,6,3,12.1,7.8,SMALL,5,6.0
3.7,6,3,12.7,8.1,SMALL,2,6.0
5.0,8,3,13.3,9.3,SMALL,5,6.0
5.0,8,3,15.4,9.4,SMALL,2,6.0
5.8,8,1,15.9,9.9,SMALL,2,6.0
3.7,6,3,12.5,8.2,SMALL,5,6.0
2.0,4,3,10.5,7.3,MIDDLE,1,6.0
3.5,6,3,13.7,9.4,MIDDLE,1,6.0
3.5,6,3,12.1,8.1,MIDDLE,1,6.0
3.5,6,4,17.0,11.1,MIDDLE,1,6.0
3.5,6,3,13.0,9.1,MIDDLE,1,6.0
3.5,6,4,18.4,12.5,MIDDLE,1,6.0
1.6,4,3,10.8,8.0,LARGE,1,6.0
2.5,4,3,11.3,8.2,LARGE,1,6.0
1.6,4,3,11.5,8.3,LARGE,1,6.0
2.5,4,3,11.9,8.5,LARGE,1,6.0
3.6,6,3,14.9,10.4,VAN,5,6.0
2.4,4,3,9.0,6.6,MIDDLE,3,0.0
2.4,4,3,9.1,6.9,MIDDLE,3,7.0
2.4,4,3,10.1,6.9,MIDDLE,2,6.0
3.5,6,3,11.0,6.8,MIDDLE,5,6.0
3.5,6,3,11.4,7.3,MIDDLE,1,6.0
3.5,6,3,13.0,8.4,MIDDLE,2,6.0
2.0,4,3,4.7,4.9,MIDDLE,3,0.0
1.8,4,3,7.9,6.0,SMALL,3,0.0
1.8,4,3,8.1,6.2,SMALL,3,7.0
1.8,4,3,8.5,6.6,SMALL,2,5.0
3.5,6,3,12.5,8.5,VAN,5,6.0
2.4,4,3,10.3,7.6,VAN,5,5.0
2.4,4,3,10.6,7.9,VAN,5,5.0
1.5,4,3,6.6,6.0,SMALL,3,7.0
1.5,4,3,7.6,6.1,SMALL,2,6.0
1.5,4,3,8.3,6.5,MIDDLE,5,5.0
1.5,4,3,8.3,6.9,MIDDLE,2,5.0
3.5,6,3,12.3,8.5,LARGE,5,6.0
3.5,6,3,13.3,9.3,VAN,5,5.0
3.5,6,3,13.9,9.7,VAN,5,5.0
3.5,6,3,15.2,11.3,LARGE,5,5.0
1.6,4,3,8.8,6.3,SMALL,5,6.0
1.6,4,3,8.7,6.4,SMALL,2,6.0
2.0,4,3,9.8,7.2,MIDDLE,5,6.0
2.0,4,3,9.8,7.0,MIDDLE,2,6.0
5.0,8,1,15.7,10.2,MIDDLE,5,8.0
3.8,6,3,13.0,8.7,MIDDLE,5,8.0
3.3,6,3,13.0,9.1,VAN,5,6.0
3.3,6,3,13.3,9.5,VAN,5,6.0
2.4,4,3,11.6,8.7,VAN,5,6.0
2.0,4,3,12.9,9.7,VAN,5,6.0
2.4,4,3,12.5,9.4,VAN,5,6.0
2.0,4,3,11.4,7.5,MIDDLE,5,6.0
2.4,4,3,9.8,7.0,MIDDLE,5,6.0
2.4,4,3,6.5,5.9,MIDDLE,1,6.0
2.4,4,3,6.6,5.9,MIDDLE,1,6.0
2.0,4,3,10.2,8.2,VAN,5,6.0
2.0,4,3,11.4,8.6,VAN,2,6.0
2.4,4,3,11.3,8.3,VAN,5,6.0
2.0,4,3,11.4,9.3,VAN,5,6.0
2.4,4,3,11.6,9.3,VAN,5,6.0
1.6,4,3,8.6,6.6,SMALL,4,6.0
1.6,4,3,9.1,6.7,SMALL,2,6.0
1.6,4,3,9.9,7.5,SMALL,5,6.0
1.6,4,3,9.7,7.1,SMALL,2,6.0
3.7,6,1,12.0,8.0,MIDDLE,1,7.0
3.7,6,1,12.6,8.7,MIDDLE,1,7.0
3.5,6,1,8.2,6.7,SMALL,1,7.0
3.5,6,1,8.7,7.5,SMALL,1,7.0
3.7,6,1,13.3,9.4,SMALL,1,7.0
3.7,6,1,13.6,9.3,SMALL,1,7.0
3.7,6,1,14.3,9.8,SMALL,2,6.0
3.7,6,1,12.9,8.9,SMALL,1,7.0
3.7,6,1,13.5,9.3,SMALL,2,6.0
3.7,6,1,12.8,8.9,MIDDLE,1,7.0
5.6,8,1,14.5,9.5,MIDDLE,1,7.0
3.7,6,1,13.2,9.6,MIDDLE,1,7.0
5.6,8,1,15.0,10.2,MIDDLE,1,7.0
3.5,6,1,8.0,7.0,MIDDLE,1,7.0
3.7,6,1,13.6,9.6,MIDDLE,1,7.0
3.5,6,1,11.9,9.0,VAN,3,0.0
3.5,6,1,12.3,9.3,VAN,3,0.0
2.5,4,3,8.8,8.2,VAN,3,0.0
3.7,6,1,14.5,10.7,VAN,1,7.0
5.0,8,1,16.6,11.9,VAN,1,7.0
5.6,8,1,17.4,12.1,VAN,1,7.0
3.0,6,1,11.8,8.4,SMALL,1,8.0
3.0,6,1,12.2,8.7,SMALL,1,8.0
5.0,8,1,15.0,10.2,SMALL,1,8.0
2.0,4,1,12.3,8.2,MIDDLE,1,8.0
3.0,6,1,14.7,9.1,MIDDLE,1,8.0
5.0,8,1,15.7,10.3,MIDDLE,1,8.0
5.0,8,4,21.3,14.1,MIDDLE,1,8.0
3.0,6,1,14.6,9.6,MIDDLE,1,8.0
5.0,8,1,15.8,10.2,MIDDLE,1,8.0
5.0,8,4,20.6,13.6,MIDDLE,1,8.0
3.0,6,1,14.7,9.6,MIDDLE,1,8.0
5.0,8,1,15.1,10.6,SMALL,1,6.0
5.0,8,1,14.8,9.9,SMALL,1,6.0
5.0,8,1,15.9,10.9,SMALL,1,6.0
5.0,8,1,15.6,10.9,SMALL,1,6.0
2.4,4,3,10.9,7.7,VAN,5,9.0
3.2,6,3,12.3,8.3,VAN,5,9.0
2.4,4,3,11.3,8.3,VAN,5,9.0
3.2,6,3,12.5,8.8,VAN,5,9.0
2.4,4,3,11.4,8.6,VAN,5,9.0
3.2,6,3,12.5,9.1,VAN,5,9.0
2.4,4,3,12.1,9.4,VAN,5,9.0
3.2,6,3,13.4,9.5,VAN,5,9.0
2.0,4,3,10.7,8.8,VAN,3,0.0
2.0,4,3,11.1,8.3,VAN,5,6.0
2.0,4,3,10.2,7.8,VAN,2,5.0
2.4,4,3,11.1,8.3,VAN,5,6.0
2.4,4,3,10.3,8.3,VAN,2,5.0
2.4,4,3,11.4,8.7,VAN,5,6.0
2.4,4,3,10.3,8.4,VAN,2,5.0
2.4,4,3,11.7,10.3,VAN,3,0.0
5.7,8,3,17.3,11.7,VAN,5,8.0
3.0,6,2,11.2,8.4,VAN,5,8.0
6.4,8,1,18.5,12.6,VAN,5,8.0
3.6,6,3,14.1,11.1,VAN,5,5.0
3.6,6,3,14.2,11.0,VAN,2,6.0
3.6,6,3,14.8,11.7,VAN,5,5.0
3.6,6,3,15.0,11.4,VAN,2,6.0
3.3,6,3,12.7,8.8,MIDDLE,5,6.0
1.8,4,3,9.6,6.6,MIDDLE,5,6.0
1.8,4,3,9.3,6.4,MIDDLE,2,6.0
2.0,4,3,9.8,6.6,MIDDLE,5,6.0
2.0,4,3,9.7,6.8,MIDDLE,2,6.0
1.6,4,3,11.1,8.0,MIDDLE,5,6.0
1.6,4,3,11.1,8.2,MIDDLE,2,6.0
2.0,4,3,9.7,6.8,MIDDLE,5,6.0
2.0,4,3,9.8,7.0,MIDDLE,2,6.0
1.6,4,3,10.6,7.9,SMALL,5,6.0
1.6,4,3,10.8,8.1,SMALL,2,6.0
2.0,4,3,9.6,7.0,SMALL,5,6.0
2.0,4,3,9.8,7.2,SMALL,2,6.0
2.0,4,3,11.7,7.6,MIDDLE,5,6.0
2.4,4,3,10.2,6.8,MIDDLE,5,6.0
2.4,4,3,6.7,6.0,MIDDLE,1,6.0
1.6,4,3,8.7,6.3,SMALL,5,6.0
1.6,4,3,8.5,6.4,SMALL,5,6.0
2.0,4,3,10.5,7.5,VAN,5,6.0
2.0,4,3,10.8,7.4,VAN,2,6.0
3.5,6,3,13.7,9.9,LARGE,5,6.0
2.4,4,3,11.8,8.5,VAN,5,6.0
3.3,6,3,12.9,9.5,VAN,5,6.0
2.4,4,3,12.3,9.3,VAN,5,6.0
3.3,6,3,13.4,9.9,VAN,5,6.0
1.6,4,3,9.8,7.9,MIDDLE,5,6.0
1.6,4,3,9.9,7.8,MIDDLE,2,6.0
